municipio,nombre_lugar,categoria,direccion,latitud,longitud
acebeda-la,La Posada de los Vientos,Spanish Restaurant,"Calle Encerradero, 2",41.08708,-3.623995
acebeda-la,El Acebo,Restaurant,"Calle Puerto, 2",41.086306,-3.623243
acebeda-la,Hostal Castillo de Somosierra,Restaurant,"Carretera Nal 1, Km 81",41.045341,-3.616328
ajalvir,Diverjungla,Playground,"Calle Segovia, 20",40.529921,-3.484341
ajalvir,Parque Infantil,Park,N/A,40.543867,-3.464773
ajalvir,Parque 11 de Marzo,Playground,N/A,40.548144,-3.459888
ajalvir,Parque del Globo,Playground,"Calle Cuesta Lengua, 34",40.543698,-3.454043
ajalvir,Parque forestal María Marzol,Park,N/A,40.562251,-3.455186
ajalvir,Parque el Matadero,Park,N/A,40.566712,-3.503259
ajalvir,Parque Infantil,Playground,N/A,40.502598,-3.513642
ajalvir,Pinarillo AVM,Playground,"Avenida de Sombra de la Torre, 14",40.505424,-3.518493
ajalvir,Parque Pijos,Park,N/A,40.572582,-3.501606
ajalvir,Parque,Park,N/A,40.49774,-3.509042
ajalvir,Zaino,Spanish Restaurant,"Calle Franklin, 5",40.540597,-3.463023
ajalvir,Tonatiuh BBQ,BBQ Joint,"Calle la Fragua, 2",40.542907,-3.460815
ajalvir,El Refugio,Mediterranean Restaurant,"Carretera Alcalá-Torrelaguna, Km 15,5",40.567039,-3.5022
ajalvir,Fast Pan y Pasteles,Bakery,"Avenida Juan Pablo II Miramadrid, 26",40.50293,-3.51419
ajalvir,El Balcón de Quevedo,Café,"Calle Quevedo, s/n",40.501226,-3.512157
ajalvir,Dublinia,Pub,"Paseo de las Camelias, 2",40.502172,-3.513746
ajalvir,Bar Manolo,Restaurant,"Plaza de la Villa, 5",40.534739,-3.480607
ajalvir,Jurassic Pan,Burger Joint,"Carretera de Daganzo, 17",40.533531,-3.479205
ajalvir,Asador de Cobeña,BBQ Joint,"Bodeguillas, 5",40.567762,-3.502889
ajalvir,Bar Julio's,Bar,"Calle Real, 1",40.532165,-3.480553
ajalvir,Zeta Line,Shopping Mall,"Carretera Torrejón a Ajalvir, 25",40.509183,-3.479983
ajalvir,Herbolario Naturdietética,Deli,"Avenida Guadalajara, 20",40.567168,-3.502528
ajalvir,Miramadrid,Shopping Mall,N/A,40.502454,-3.51424
ajalvir,Alcamar,Equipment Rental Service,"Carretera Ajalvir-Torrejon Ardoz, Km 1900",40.534138,-3.48071
alameda-del-valle,Restaurante Conchi,Coffee Shop,"Calle Rosario, 23",40.903631,-3.87862
alameda-del-valle,El Corralón del Embalse,Seafood Restaurant,"Calle de la Presa, 26",40.924793,-3.81755
alameda-del-valle,Tascafria Café Bar,Diner,"Plaza de la Villa, 31",40.904152,-3.880716
alameda-del-valle,Asador la Abuela,BBQ Joint,"Calle Abelardo Gallego, 10",40.904722,-3.878391
alameda-del-valle,Casa Briscas,Bar,"Plaza España, 13",40.90379,-3.879557
alameda-del-valle,Restaurante el Pilón,Restaurant,"Ibáñez Marín, 28",40.902173,-3.878542
alameda-del-valle,Caldea,Mediterranean Restaurant,"Avenida de el Paular, 37",40.90188,-3.878125
alameda-del-valle,Bar Rufino,Bar,"Plaza Santa Marina, 1",40.917569,-3.843772
alameda-del-valle,Restaurante Taberna del Alamillo,Bar,"Calle de la Taberna, 26",40.918293,-3.841998
alameda-del-valle,Restaurante el Colorao,Spanish Restaurant,"Travesía de Grande, 8",40.919526,-3.844874
alameda-del-valle,Madrid Paris,Shopping Mall,"Avenida Valle, 6",40.904001,-3.879313
alamo-el,Isla Perejil,Park,N/A,40.230993,-3.991942
alamo-el,Parque de Madera,Park,N/A,40.234636,-3.995166
alamo-el,El Molino,Restaurant,"Carretera Navalcarnero-Griñón, Km 9,3",40.224144,-3.961238
alamo-el,Mesón la Sardina,Spanish Restaurant,"Plaza Constitución, 11",40.230961,-3.99058
alamo-el,El Capricho del Alamo,Tapas Restaurant,"Calle de las Escuelas, 2",40.230598,-3.991037
alamo-el,Meson de la Villa,Restaurant,"Callejon Luis l Oliveros, 8",40.231001,-3.991098
alamo-el,La Posada del Sol,Restaurant,"Calle de las Escuelas, 12",40.230173,-3.991519
alamo-el,4 Rosas,Restaurant,"Calle de las Escuelas, 36",40.229603,-3.993362
alamo-el,El Cenador de el Álamo,Tapas Restaurant,"Calle Escuelas, 46",40.229242,-3.9942
